Deal Name,Owner code,Client Code,Deal Status,Close Date (A),Closure Probability,Masked Deal value,Tentative Close Date,Deal Stage,Product deal,Sector/service,Created Date,source_row_number,quality_flag
Naruto,OWNER_001,COMPANY089,Open,,High,489360.0,2026-02-26,B. Sales Qualified Leads,Service + Spectra,Mining,2025-12-26,2,
Sasuke,OWNER_001,COMPANY091,Open,,,17616960.0,2026-02-28,B. Sales Qualified Leads,,Mining,2025-09-15,3,
Sasuke,OWNER_002,COMPANY124,Open,,Medium,611700.0,2026-02-26,E. Proposal/Commercials Sent,,Powerline,2025-11-12,4,
Sakura,OWNER_002,COMPANY046,Open,,Low,2348928.0,2026-03-20,E. Proposal/Commercials Sent,,Powerline,2025-10-14,5,
Sakura,OWNER_002,COMPANY148,Open,,High,428190.0,2026-02-26,E. Proposal/Commercials Sent,,Powerline,2025-10-10,6,
Sakura,OWNER_002,COMPANY047,Open,,Medium,2936160.0,2026-02-12,E. Proposal/Commercials Sent,,Powerline,2025-07-07,7,
Sakura,OWNER_003,COMPANY197,Open,,Low,305850000.0,2024-09-30,D. Feasibility,Pure Service,Tender,2024-08-30,8,
Sakura,OWNER_001,COMPANY177,On Hold,,Medium,,2025-06-11,M. Projects On Hold,,Powerline,2024-11-17,9,
Sakura,OWNER_001,COMPANY094,Open,,Medium,,2025-06-12,M. Projects On Hold,,Renewables,2024-11-17,10,
Sakura,OWNER_001,COMPANY178,On Hold,,Medium,,2025-06-23,M. Projects On Hold,,Renewables,2024-08-09,11,
Sakura,OWNER_004,COMPANY149,Open,,High,4281900.0,2026-01-31,H. Work Order Received,Spectra + DMO,DSP,2025-11-19,12,
Sakura,OWNER_004,COMPANY149,Open,,Low,6117000.0,2026-03-25,F. Negotiations,Hardware,DSP,2025-11-19,13,
Sakura,OWNER_002,COMPANY171,Open,,Low,1835100.0,2026-02-20,E. Proposal/Commercials Sent,,Renewables,2025-05-21,14,
Sakura,OWNER_003,COMPANY111,Open,,Medium,7832265.5232,2026-01-31,E. Proposal/Commercials Sent,Pure Service,Railways,2025-09-15,15,
Sakura,OWNER_003,COMPANY111,Open,,Medium,7832265.5232,2026-02-28,E. Proposal/Commercials Sent,Pure Service,Railways,2026-01-08,16,
Sakura,OWNER_003,COMPANY111,Open,,Medium,7832265.5232,2026-03-31,E. Proposal/Commercials Sent,Pure Service,Railways,2026-01-08,17,business_key_duplicate
Sakura,OWNER_004,COMPANY149,Open,,High,12234000.0,2026-02-14,E. Proposal/Commercials Sent,Dock + DMO + Spectra + Service,DSP,,18,missing_created_date
Sakura,OWNER_004,COMPANY129,Open,,High,1835100.0,2026-01-08,F. Negotiations,Service + Spectra,Mining,2025-11-14,19,
Sakura,OWNER_004,COMPANY129,Open,,Medium,1101060.0,2026-01-15,E. Proposal/Commercials Sent,Dock + Spectra + Service,Mining,2025-11-14,20,
Sakura,OWNER_004,COMPANY107,Open,,Medium,3670200.0,2026-01-15,E. Proposal/Commercials Sent,Dock + DMO + Spectra + Service,DSP,2025-11-14,21,
Sakura,OWNER_004,COMPANY103,Open,,Low,5505300.0,2026-02-13,E. Proposal/Commercials Sent,Dock + DMO + Spectra + Service,DSP,2025-11-14,22,
Sakura,OWNER_004,COMPANY077,Open,,Low,367020.0,2025-12-15,C. Demo Done,Pure Service,DSP,2025-11-14,23,
Sakura,OWNER_004,COMPANY026,Open,,High,122340.0,2026-03-10,E. Proposal/Commercials Sent,Dock + DMO + Spectra,Construction,2025-11-14,24,
Sakura,OWNER_004,COMPANY193,Open,,High,122340.0,2026-01-31,F. Negotiations,Service + Spectra,Mining,2025-11-14,25,
Sakura,OWNER_003,COMPANY111,Open,,Medium,5235907.32,2026-01-15,B. Sales Qualified Leads,Pure Service,Railways,2025-11-17,26,
Sakura,OWNER_001,COMPANY169,Open,,High,14680800.0,2026-01-31,D. Feasibility,Service + Spectra,Renewables,2025-11-17,27,
