Deal name masked,Customer Name Code,Serial #,Nature of Work,Last executed month of recurring project,Execution Status,Data Delivery Date,Date of PO/LOI,Document Type,Probable Start Date,Probable End Date,BD/KAM Personnel code,Sector,Type of Work,Is any Skylark software platform part of the client deliverables in this deal?,Last invoice date,latest invoice no.,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Billed Value in Rupees (Incl of GST.) (Masked),Collected Amount in Rupees (Incl of GST.) (Masked),Amount to be billed in Rs. (Exl. of GST) (Masked),Amount to be billed in Rs. (Incl. of GST) (Masked),Amount Receivable (Masked),AR Priority account,Quantity by Ops,Quantities as per PO,Quantity billed (till date),Balance in quantity,Invoice Status,Expected Billing Month,Actual Billing Month,Actual Collection Month,WO Status (billed),Collection status,Collection Date,Billing Status,source_row_number,quality_flag
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-075,One time Project,,Completed,2025-09-27,2025-10-29,Purchase Order,2025-05-31,2025-06-03,OWNER_003,Mining,Raw images/videography,NONE,2026-01-14,SDPL/FY25-26/916,264398.08,311989.7344,,0.0,,264398.08,311989.7344,0.0,,,5360 HA,,5360.0,,,,,,,,Update Required,3,
Appa,WOCOMPANY_038,SDPLDEAL-101,Proof of Concept,,Not Started,,2025-07-31,Purchase Order,2025-08-11,2025-08-15,OWNER_002,Powerline,Powerline Inspection,,,,154150.0,181897.0,,0.0,,154150.0,181897.0,0.0,,,4,,4.0,,,,,Open,,,,4,
Sakura,WOCOMPANY_002,SDPLDEAL-002,Monthly Contract,Dec,Executed until current month,2025-12-31,2025-05-16,Purchase Order,2025-05-01,2026-04-30,OWNER_003,Mining,Volumetric survey,NONE,,,2984097.36,3521234.8848,23959.682484,28272.42533112,,2960137.677516,3492962.45946888,28272.42533112,,,3000,,3000.0,,,,,Open,,,Partially Billed,5,
Sakura,WOCOMPANY_002,SDPLDEAL-003,One time Project,,Completed,,2025-05-08,Purchase Order,2025-05-20,2025-05-31,OWNER_003,Mining,Topography Survey: RGB,NONE,2025-09-15,SDPL/FY25-26/449,184980.0,218276.4,184980.0,218276.4,66880.1356,0.0,0.0,151396.2644,,,600,,600.0,Not billed yet,,,,Open,,,,6,
SpongeBob,WOCOMPANY_032,SDPLDEAL-004,One time Project,,Completed,,2025-05-06,LOA/LOI,2025-05-24,2025-06-20,OWNER_003,Powerline,Powerline Inspection,NONE,,,1132250.248,1336055.29264,1215157.54408,1433885.9020144,,-82907.29608,-97830.6093744,1433885.9020144,Priority,,59.33,,59.33,,,,,Open,,,Billed,7,billing_status_typo_corrected
Edward Elric,WOCOMPANY_008,SDPLDEAL-005,One time Project,,Completed,,2025-05-16,Purchase Order,2025-05-20,2025-05-31,OWNER_003,Renewables,Hydrology,NONE,2025-07-18,SDPL/FY25-26/359,135652.0,160069.36,135652.0,160069.36,160069.36,0.0,0.0,0.0,,,1,1.0,0.0,Fully Billed,,,,Closed,,,,8,
Pumbaa,WOCOMPANY_047,SDPLDEAL-001,Annual Rate Contract,June,Ongoing,,2025-05-15,Purchase Order,2025-05-19,2025-11-19,OWNER_005,Renewables,Others,SPECTRA,2025-09-06,SDPL/FY25-26/431,3995568.0,4714770.24,3662604.0,4321872.72,1405108.08,332964.0,392897.52,2916764.64,,,12,2.0,10.0,Partially Billed,,,,Open,,,,9,
Sakura,WOCOMPANY_002,SDPLDEAL-006,Monthly Contract,November,Executed until current month,,2025-05-21,Purchase Order,2025-05-01,2026-04-30,OWNER_003,Mining,Topography Survey: RGB,NONE,2025-06-16,SDPL/FY25-26/064,727588.0,858553.84,151417.191804,178672.28632872,178672.182,576170.808196,679881.55367128,0.10432872,,,1600,,1600.0,Partially Billed,,,,Open,,,,10,
Sakura,WOCOMPANY_002,SDPLDEAL-007,Monthly Contract,Dec,Executed until current month,,2025-05-22,Purchase Order,2025-05-20,2026-04-30,OWNER_003,Mining,Topography Survey: RGB,NONE,2025-09-06,SDPL/FY25-26/435,2293752.0,2706627.36,1742808.443572,2056513.96341496,1225606.681988,550943.556428,650113.39658504,830907.28142696,,,4800,,4800.0,Partially Billed,,,,Open,,,,11,
Alias_160,WOCOMPANY_051,SDPLDEAL-008,One time Project,,Completed,2025-05-28,2025-04-10,Purchase Order,2025-04-20,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-23,SDPL/FY25-26/365,126649.64,149446.5752,81360.37,96005.2366,,45289.27,53441.3386,96005.2366,,447.170583,460,,460.0,Fully Billed,,July,,Closed,,,,12,
