Deal name masked,Customer Name Code,Serial #,Nature of Work,Last executed month of recurring project,Execution Status,Data Delivery Date,Date of PO/LOI,Document Type,Probable Start Date,Probable End Date,BD/KAM Personnel code,Sector,Type of Work,Is any Skylark software platform part of the client deliverables in this deal?,Last invoice date,latest invoice no.,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Billed Value in Rupees (Incl of GST.) (Masked),Collected Amount in Rupees (Incl of GST.) (Masked),Amount to be billed in Rs. (Exl. of GST) (Masked),Amount to be billed in Rs. (Incl. of GST) (Masked),Amount Receivable (Masked),AR Priority account,Quantity by Ops,Quantities as per PO,Quantity billed (till date),Balance in quantity,Invoice Status,Expected Billing Month,Actual Billing Month,Actual Collection Month,WO Status (billed),Collection status,Collection Date,Billing Status,source_row_number,quality_flag
SpongeBob,WOCOMPANY_032,SDPLDEAL-004,One time Project,,Completed,,2025-05-06,LOA/LOI,2025-05-24,2025-06-20,OWNER_003,Powerline,Powerline Inspection,NONE,,,1132250.248,1336055.29264,1215157.54408,1433885.9020144,,-82907.29608,-97830.6093744,1433885.9020144,Priority,,59.33,,59.33,,,,,Open,,,Billed,7,billing_status_typo_corrected
Alias_160,WOCOMPANY_051,SDPLDEAL-019,One time Project,,Completed,2025-06-14,2025-04-10,Purchase Order,2025-05-01,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-27,SDPL/FY25-26/110,157535.134,185891.45812,157399.23536,185731.0977248,185891.3348,135.89864,160.3603952,-160.2370752,,880.27,881,,881.0,Fully Billed,,July,,Closed,,,,23,negative_amount_receivable
Armin,WOCOMPANY_020,SDPLDEAL-032,One time Project,,Completed,2025-05-09,2025-04-10,Purchase Order,2025-04-15,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-24,SDPL/FY25-26/085,382095.9212,450873.187016,382095.9212,450873.187016,450873.9516,0.0,0.0,-0.764584,,1144.13,1147.56,,1147.56,Fully Billed,,June,,Closed,,,,36,negative_amount_receivable
Alias_162,WOCOMPANY_052,SDPLDEAL-038,One time Project,,Completed,2025-06-22,2025-04-10,Purchase Order,2025-06-12,2025-06-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-01,SDPL/FY25-26/372,476015.2,561697.936,476382.6936,562131.578448,562132.0224,-367.4936,-433.642448,-0.443952,,,643,,643.0,Fully Billed,,July,,Closed,,,,41,negative_amount_receivable
Tanjiro,WOCOMPANY_005,SDPLDEAL-044,One time Project,,Completed,2025-07-02,2025-04-10,LOA/LOI,2025-06-14,2025-06-23,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-20,SDPL/FY25-26/407,12774.7188,15074.168184,12774.7188,15074.168184,15074.6368,0.0,0.0,-0.468616,,,57.55 HA,,57.55,Fully Billed,,August,,Closed,,,,46,negative_amount_receivable
Tanjiro,WOCOMPANY_051,SDPLDEAL-046,One time Project,,Completed,2025-05-05,2025-04-10,Purchase Order,2025-05-22,2025-06-22,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-25,SDPL/FY25-26/369,390952.7636,461324.261048,390887.404,461247.13672,461247.63,65.3596,77.124328,-0.49328,,2246.97,2186.54 HA,,2186.54,Fully Billed,,July,,Closed,,,,47,negative_amount_receivable
Subaru,WOCOMPANY_019,SDPLDEAL-066,One time Project,,Completed,,2025-04-10,Purchase Order,2025-05-01,2025-06-10,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-27,SDPL/FY25-26/095,81555.27726,96235.2271668,81555.27726,96235.2271668,96235.2284,0.0,0.0,-0.0012332,,456.137,456.090 HA,456.09,0.0,Fully Billed,,July,,Closed,,,,64,negative_amount_receivable
Subaru,WOCOMPANY_019,SDPLDEAL-068,One time Project,,Completed,,2025-04-10,Purchase Order,2025-05-01,2025-06-16,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-21,SDPL/FY25-26/361,61690.83,72795.1794,61690.83,72795.1794,72795.796,0.0,0.0,-0.6166,,353.851,345 HA,345.0,0.0,Fully Billed,,July,,Closed,,,,66,negative_amount_receivable
Frieza,WOCOMPANY_022,SDPLDEAL-074,One time Project,,Completed,,2025-04-10,Purchase Order,2025-05-01,2025-06-16,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-30,SDPL/FY25-26/100,188717.792204,222686.99480072,188717.792204,222686.99480072,222687.5564,0.0,0.0,-0.56159928,,1055.386,1100 HA,1055.386,44.614,Fully Billed,,June,,Closed,,,,72,negative_amount_receivable
Yuji Itadori,WOCOMPANY_006,SDPLDEAL-076,One time Project,,Completed,,2025-04-01,Purchase Order,2025-04-05,2025-04-11,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,,,431620.0,509311.6,431620.0,509311.6,509311.6,0.0,0.0,0.0,,,222 HA,,222.0,,,,,,,,Billed,73,billing_status_typo_corrected
